,date,state,fips,cases,deaths,date_id
689,2020-03-15,Alabama,01,23,0,20200315
690,2020-03-15,Alaska,02,1,0,20200315
691,2020-03-15,Arizona,04,13,0,20200315
692,2020-03-15,Arkansas,05,16,0,20200315
693,2020-03-15,California,06,478,6,20200315
694,2020-03-15,Colorado,08,136,2,20200315
695,2020-03-15,Connecticut,09,26,0,20200315
696,2020-03-15,Delaware,10,7,0,20200315
697,2020-03-15,District of Columbia,11,17,0,20200315
698,2020-03-15,Florida,12,109,3,20200315
699,2020-03-15,Georgia,13,97,1,20200315
700,2020-03-15,Guam,66,3,0,20200315
701,2020-03-15,Hawaii,15,7,0,20200315
702,2020-03-15,Idaho,16,5,0,20200315
703,2020-03-15,Illinois,17,94,0,20200315
704,2020-03-15,Indiana,18,19,0,20200315
705,2020-03-15,Iowa,19,22,0,20200315
706,2020-03-15,Kansas,20,9,1,20200315
707,2020-03-15,Kentucky,21,21,0,20200315
708,2020-03-15,Louisiana,22,103,2,20200315
709,2020-03-15,Maine,23,12,0,20200315
710,2020-03-15,Maryland,24,32,0,20200315
711,2020-03-15,Massachusetts,25,164,0,20200315
712,2020-03-15,Michigan,26,53,0,20200315
713,2020-03-15,Minnesota,27,35,0,20200315
714,2020-03-15,Mississippi,28,10,0,20200315
715,2020-03-15,Missouri,29,5,0,20200315
716,2020-03-15,Montana,30,6,0,20200315
717,2020-03-15,Nebraska,31,31,0,20200315
718,2020-03-15,Nevada,32,26,0,20200315
719,2020-03-15,New Hampshire,33,13,0,20200315
720,2020-03-15,New Jersey,34,98,2,20200315
721,2020-03-15,New Mexico,35,17,0,20200315
722,2020-03-15,New York,36,732,6,20200315
723,2020-03-15,North Carolina,37,32,0,20200315
724,2020-03-15,North Dakota,38,1,0,20200315
725,2020-03-15,Ohio,39,37,0,20200315
726,2020-03-15,Oklahoma,40,8,0,20200315
727,2020-03-15,Oregon,41,39,1,20200315
728,2020-03-15,Pennsylvania,42,68,0,20200315
729,2020-03-15,Puerto Rico,72,5,0,20200315
730,2020-03-15,Rhode Island,44,20,0,20200315
731,2020-03-15,South Carolina,45,28,0,20200315
732,2020-03-15,South Dakota,46,9,1,20200315
733,2020-03-15,Tennessee,47,39,0,20200315
734,2020-03-15,Texas,48,80,0,20200315
735,2020-03-15,Utah,49,29,0,20200315
736,2020-03-15,Vermont,50,8,0,20200315
737,2020-03-15,Virgin Islands,78,1,0,20200315
738,2020-03-15,Virginia,51,45,1,20200315
739,2020-03-15,Washington,53,675,42,20200315
740,2020-03-15,Wisconsin,55,33,0,20200315
741,2020-03-15,Wyoming,56,3,0,20200315
742,2020-03-16,Alabama,01,29,0,20200316
743,2020-03-16,Alaska,02,3,0,20200316
744,2020-03-16,Arizona,04,18,0,20200316
745,2020-03-16,Arkansas,05,22,0,20200316
746,2020-03-16,California,06,588,11,20200316
747,2020-03-16,Colorado,08,161,2,20200316
748,2020-03-16,Connecticut,09,41,0,20200316
749,2020-03-16,Delaware,10,8,0,20200316
750,2020-03-16,District of Columbia,11,22,0,20200316
751,2020-03-16,Florida,12,141,4,20200316
752,2020-03-16,Georgia,13,118,1,20200316
753,2020-03-16,Guam,66,3,0,20200316
754,2020-03-16,Hawaii,15,10,0,20200316
755,2020-03-16,Idaho,16,5,0,20200316
756,2020-03-16,Illinois,17,104,0,20200316
757,2020-03-16,Indiana,18,24,1,20200316
758,2020-03-16,Iowa,19,22,0,20200316
759,2020-03-16,Kansas,20,11,1,20200316
760,2020-03-16,Kentucky,21,22,1,20200316
761,2020-03-16,Louisiana,22,137,3,20200316
762,2020-03-16,Maine,23,17,0,20200316
763,2020-03-16,Maryland,24,39,0,20200316
764,2020-03-16,Massachusetts,25,197,0,20200316
765,2020-03-16,Michigan,26,54,0,20200316
766,2020-03-16,Minnesota,27,54,0,20200316
767,2020-03-16,Mississippi,28,12,0,20200316
768,2020-03-16,Missouri,29,9,0,20200316
769,2020-03-16,Montana,30,8,0,20200316
770,2020-03-16,Nebraska,31,33,0,20200316
771,2020-03-16,Nevada,32,45,1,20200316
772,2020-03-16,New Hampshire,33,17,0,20200316
773,2020-03-16,New Jersey,34,176,3,20200316
774,2020-03-16,New Mexico,35,21,0,20200316
775,2020-03-16,New York,36,950,10,20200316
776,2020-03-16,North Carolina,37,34,0,20200316
777,2020-03-16,North Dakota,38,1,0,20200316
778,2020-03-16,Ohio,39,50,0,20200316
779,2020-03-16,Oklahoma,40,10,0,20200316
780,2020-03-16,Oregon,41,46,1,20200316
781,2020-03-16,Pennsylvania,42,81,0,20200316
782,2020-03-16,Puerto Rico,72,5,0,20200316
783,2020-03-16,Rhode Island,44,21,0,20200316
784,2020-03-16,South Carolina,45,33,1,20200316
785,2020-03-16,South Dakota,46,10,1,20200316
786,2020-03-16,Tennessee,47,52,0,20200316
787,2020-03-16,Texas,48,87,1,20200316
788,2020-03-16,Utah,49,40,0,20200316
789,2020-03-16,Vermont,50,12,0,20200316
790,2020-03-16,Virgin Islands,78,2,0,20200316
791,2020-03-16,Virginia,51,51,1,20200316
792,2020-03-16,Washington,53,794,48,20200316
793,2020-03-16,Wisconsin,55,47,0,20200316
794,2020-03-16,Wyoming,56,10,0,20200316
795,2020-03-17,Alabama,01,39,0,20200317
796,2020-03-17,Alaska,02,6,0,20200317
797,2020-03-17,Arizona,04,20,0,20200317
798,2020-03-17,Arkansas,05,22,0,20200317
799,2020-03-17,California,06,732,14,20200317
800,2020-03-17,Colorado,08,183,3,20200317
801,2020-03-17,Connecticut,09,68,0,20200317
802,2020-03-17,Delaware,10,16,0,20200317
803,2020-03-17,District of Columbia,11,31,0,20200317
804,2020-03-17,Florida,12,210,6,20200317
805,2020-03-17,Georgia,13,142,1,20200317
806,2020-03-17,Guam,66,3,0,20200317
807,2020-03-17,Hawaii,15,14,0,20200317
808,2020-03-17,Idaho,16,9,0,20200317
809,2020-03-17,Illinois,17,159,1,20200317
810,2020-03-17,Indiana,18,30,2,20200317
811,2020-03-17,Iowa,19,29,0,20200317
812,2020-03-17,Kansas,20,17,1,20200317
813,2020-03-17,Kentucky,21,26,1,20200317
814,2020-03-17,Louisiana,22,196,5,20200317
815,2020-03-17,Maine,23,32,0,20200317
816,2020-03-17,Maryland,24,57,0,20200317
817,2020-03-17,Massachusetts,25,218,0,20200317
818,2020-03-17,Michigan,26,65,0,20200317
819,2020-03-17,Minnesota,27,60,0,20200317
820,2020-03-17,Mississippi,28,21,0,20200317
821,2020-03-17,Missouri,29,16,0,20200317
822,2020-03-17,Montana,30,8,0,20200317
823,2020-03-17,Nebraska,31,36,0,20200317
824,2020-03-17,Nevada,32,55,1,20200317
825,2020-03-17,New Hampshire,33,26,0,20200317
826,2020-03-17,New Jersey,34,268,3,20200317
827,2020-03-17,New Mexico,35,23,0,20200317
828,2020-03-17,New York,36,1375,18,20200317
829,2020-03-17,North Carolina,37,42,0,20200317
830,2020-03-17,North Dakota,38,5,0,20200317
831,2020-03-17,Ohio,39,67,0,20200317
832,2020-03-17,Oklahoma,40,18,0,20200317
833,2020-03-17,Oregon,41,66,2,20200317
834,2020-03-17,Pennsylvania,42,101,0,20200317
835,2020-03-17,Puerto Rico,72,5,0,20200317
836,2020-03-17,Rhode Island,44,23,0,20200317
837,2020-03-17,South Carolina,45,47,1,20200317
838,2020-03-17,South Dakota,46,11,1,20200317
839,2020-03-17,Tennessee,47,73,0,20200317
840,2020-03-17,Texas,48,106,1,20200317
841,2020-03-17,Utah,49,51,0,20200317
842,2020-03-17,Vermont,50,14,0,20200317
843,2020-03-17,Virgin Islands,78,2,0,20200317
844,2020-03-17,Virginia,51,67,2,20200317
845,2020-03-17,Washington,53,908,54,20200317
846,2020-03-17,West Virginia,54,1,0,20200317
847,2020-03-17,Wisconsin,55,72,0,20200317
848,2020-03-17,Wyoming,56,15,0,20200317
849,2020-03-18,Alabama,01,51,0,20200318
850,2020-03-18,Alaska,02,9,0,20200318
851,2020-03-18,Arizona,04,28,0,20200318
852,2020-03-18,Arkansas,05,33,0,20200318
853,2020-03-18,California,06,893,17,20200318
854,2020-03-18,Colorado,08,216,3,20200318
855,2020-03-18,Connecticut,09,96,1,20200318
856,2020-03-18,Delaware,10,26,0,20200318
857,2020-03-18,District of Columbia,11,36,0,20200318
858,2020-03-18,Florida,12,326,7,20200318
859,2020-03-18,Georgia,13,193,3,20200318
860,2020-03-18,Guam,66,8,0,20200318
861,2020-03-18,Hawaii,15,16,0,20200318
862,2020-03-18,Idaho,16,11,0,20200318
863,2020-03-18,Illinois,17,286,1,20200318
864,2020-03-18,Indiana,18,39,2,20200318
865,2020-03-18,Iowa,19,38,0,20200318
866,2020-03-18,Kansas,20,22,1,20200318
867,2020-03-18,Kentucky,21,35,1,20200318
868,2020-03-18,Louisiana,22,280,7,20200318
869,2020-03-18,Maine,23,43,0,20200318
870,2020-03-18,Maryland,24,85,1,20200318
871,2020-03-18,Massachusetts,25,256,0,20200318
872,2020-03-18,Michigan,26,80,1,20200318
873,2020-03-18,Minnesota,27,77,0,20200318
874,2020-03-18,Mississippi,28,34,0,20200318
875,2020-03-18,Missouri,29,21,1,20200318
876,2020-03-18,Montana,30,12,0,20200318
877,2020-03-18,Nebraska,31,43,0,20200318
878,2020-03-18,Nevada,32,82,1,20200318
879,2020-03-18,New Hampshire,33,39,0,20200318
880,2020-03-18,New Jersey,34,427,5,20200318
881,2020-03-18,New Mexico,35,28,0,20200318
882,2020-03-18,New York,36,2387,32,20200318
883,2020-03-18,North Carolina,37,66,0,20200318
884,2020-03-18,North Dakota,38,7,0,20200318
885,2020-03-18,Ohio,39,90,0,20200318
886,2020-03-18,Oklahoma,40,29,0,20200318
887,2020-03-18,Oregon,41,74,3,20200318
888,2020-03-18,Pennsylvania,42,139,1,20200318
889,2020-03-18,Puerto Rico,72,5,0,20200318
890,2020-03-18,Rhode Island,44,33,0,20200318
891,2020-03-18,South Carolina,45,60,1,20200318
892,2020-03-18,South Dakota,46,11,1,20200318
893,2020-03-18,Tennessee,47,98,0,20200318
894,2020-03-18,Texas,48,166,2,20200318
895,2020-03-18,Utah,49,65,0,20200318
896,2020-03-18,Vermont,50,19,0,20200318
897,2020-03-18,Virgin Islands,78,3,0,20200318
898,2020-03-18,Virginia,51,78,2,20200318
899,2020-03-18,Washington,53,1026,68,20200318
900,2020-03-18,West Virginia,54,2,0,20200318
901,2020-03-18,Wisconsin,55,106,0,20200318
902,2020-03-18,Wyoming,56,17,0,20200318
903,2020-03-19,Alabama,01,78,0,20200319
904,2020-03-19,Alaska,02,12,0,20200319
905,2020-03-19,Arizona,04,47,0,20200319
906,2020-03-19,Arkansas,05,62,0,20200319
907,2020-03-19,California,06,1067,19,20200319
908,2020-03-19,Colorado,08,278,5,20200319
909,2020-03-19,Connecticut,09,159,4,20200319
910,2020-03-19,Delaware,10,30,0,20200319
911,2020-03-19,District of Columbia,11,39,0,20200319
912,2020-03-19,Florida,12,434,8,20200319
913,2020-03-19,Georgia,13,282,10,20200319
914,2020-03-19,Guam,66,12,0,20200319
915,2020-03-19,Hawaii,15,26,0,20200319
916,2020-03-19,Idaho,16,23,0,20200319
917,2020-03-19,Illinois,17,420,4,20200319
918,2020-03-19,Indiana,18,56,2,20200319
919,2020-03-19,Iowa,19,44,0,20200319
920,2020-03-19,Kansas,20,35,1,20200319
921,2020-03-19,Kentucky,21,47,2,20200319
922,2020-03-19,Louisiana,22,392,10,20200319
923,2020-03-19,Maine,23,52,0,20200319
924,2020-03-19,Maryland,24,108,1,20200319
925,2020-03-19,Massachusetts,25,328,0,20200319
926,2020-03-19,Michigan,26,334,3,20200319
927,2020-03-19,Minnesota,27,89,0,20200319
928,2020-03-19,Mississippi,28,50,1,20200319
929,2020-03-19,Missouri,29,35,1,20200319
930,2020-03-19,Montana,30,19,0,20200319
931,2020-03-19,Nebraska,31,47,0,20200319
932,2020-03-19,Nevada,32,99,1,20200319
933,2020-03-19,New Hampshire,33,44,0,20200319
934,2020-03-19,New Jersey,34,735,9,20200319
935,2020-03-19,New Mexico,35,35,0,20200319
936,2020-03-19,New York,36,4161,39,20200319
937,2020-03-19,North Carolina,37,104,0,20200319
938,2020-03-19,North Dakota,38,19,0,20200319
939,2020-03-19,Ohio,39,120,0,20200319
940,2020-03-19,Oklahoma,40,44,1,20200319
941,2020-03-19,Oregon,41,87,3,20200319
942,2020-03-19,Pennsylvania,42,187,1,20200319
943,2020-03-19,Puerto Rico,72,6,0,20200319
944,2020-03-19,Rhode Island,44,44,0,20200319
945,2020-03-19,South Carolina,45,81,1,20200319
946,2020-03-19,South Dakota,46,14,1,20200319
947,2020-03-19,Tennessee,47,155,0,20200319
948,2020-03-19,Texas,48,248,4,20200319
949,2020-03-19,Utah,49,80,0,20200319
950,2020-03-19,Vermont,50,22,2,20200319
951,2020-03-19,Virgin Islands,78,3,0,20200319
952,2020-03-19,Virginia,51,94,2,20200319
953,2020-03-19,Washington,53,1228,75,20200319
954,2020-03-19,West Virginia,54,5,0,20200319
955,2020-03-19,Wisconsin,55,155,2,20200319
956,2020-03-19,Wyoming,56,18,0,20200319
957,2020-03-20,Alabama,01,106,0,20200320
958,2020-03-20,Alaska,02,14,0,20200320
959,2020-03-20,Arizona,04,70,1,20200320
960,2020-03-20,Arkansas,05,100,0,20200320
961,2020-03-20,California,06,1283,24,20200320
962,2020-03-20,Colorado,08,364,5,20200320
963,2020-03-20,Connecticut,09,194,4,20200320
964,2020-03-20,Delaware,10,39,0,20200320
965,2020-03-20,District of Columbia,11,71,0,20200320
966,2020-03-20,Florida,12,564,9,20200320
967,2020-03-20,Georgia,13,482,14,20200320
968,2020-03-20,Guam,66,14,0,20200320
969,2020-03-20,Hawaii,15,37,0,20200320
970,2020-03-20,Idaho,16,31,0,20200320
971,2020-03-20,Illinois,17,583,5,20200320
972,2020-03-20,Indiana,18,81,5,20200320
973,2020-03-20,Iowa,19,45,0,20200320
974,2020-03-20,Kansas,20,49,1,20200320
975,2020-03-20,Kentucky,21,63,2,20200320
976,2020-03-20,Louisiana,22,537,10,20200320
977,2020-03-20,Maine,23,57,0,20200320
978,2020-03-20,Maryland,24,150,2,20200320
979,2020-03-20,Massachusetts,25,413,1,20200320
980,2020-03-20,Michigan,26,548,4,20200320
981,2020-03-20,Minnesota,27,115,0,20200320
982,2020-03-20,Mississippi,28,80,1,20200320
983,2020-03-20,Missouri,29,73,3,20200320
984,2020-03-20,Montana,30,19,0,20200320
985,2020-03-20,Nebraska,31,53,0,20200320
986,2020-03-20,Nevada,32,165,2,20200320
987,2020-03-20,New Hampshire,33,55,0,20200320
988,2020-03-20,New Jersey,34,896,11,20200320
989,2020-03-20,New Mexico,35,43,0,20200320
990,2020-03-20,New York,36,7113,68,20200320
991,2020-03-20,North Carolina,37,144,0,20200320
992,2020-03-20,North Dakota,38,27,0,20200320
993,2020-03-20,Ohio,39,169,1,20200320
994,2020-03-20,Oklahoma,40,49,1,20200320
995,2020-03-20,Oregon,41,114,3,20200320
996,2020-03-20,Pennsylvania,42,269,1,20200320
997,2020-03-20,Puerto Rico,72,14,0,20200320
998,2020-03-20,Rhode Island,44,44,0,20200320
999,2020-03-20,South Carolina,45,126,3,20200320
1000,2020-03-20,South Dakota,46,14,1,20200320
1001,2020-03-20,Tennessee,47,237,0,20200320
1002,2020-03-20,Texas,48,386,5,20200320
1003,2020-03-20,Utah,49,112,0,20200320
1004,2020-03-20,Vermont,50,29,2,20200320
1005,2020-03-20,Virgin Islands,78,6,0,20200320
1006,2020-03-20,Virginia,51,115,2,20200320
1007,2020-03-20,Washington,53,1404,83,20200320
1008,2020-03-20,West Virginia,54,8,0,20200320
1009,2020-03-20,Wisconsin,55,216,3,20200320
1010,2020-03-20,Wyoming,56,22,0,20200320
1011,2020-03-21,Alabama,01,131,0,20200321
1012,2020-03-21,Alaska,02,21,0,20200321
1013,2020-03-21,Arizona,04,104,1,20200321
1014,2020-03-21,Arkansas,05,118,0,20200321
1015,2020-03-21,California,06,1544,28,20200321
1016,2020-03-21,Colorado,08,475,6,20200321
1017,2020-03-21,Connecticut,09,223,5,20200321
1018,2020-03-21,Delaware,10,45,0,20200321
1019,2020-03-21,District of Columbia,11,77,1,20200321
1020,2020-03-21,Florida,12,764,11,20200321
1021,2020-03-21,Georgia,13,552,20,20200321
1022,2020-03-21,Guam,66,15,0,20200321
1023,2020-03-21,Hawaii,15,48,0,20200321
1024,2020-03-21,Idaho,16,42,0,20200321
1025,2020-03-21,Illinois,17,751,6,20200321
1026,2020-03-21,Indiana,18,128,6,20200321
1027,2020-03-21,Iowa,19,68,0,20200321
1028,2020-03-21,Kansas,20,57,2,20200321
1029,2020-03-21,Kentucky,21,84,3,20200321
1030,2020-03-21,Louisiana,22,763,16,20200321
1031,2020-03-21,Maine,23,70,0,20200321
1032,2020-03-21,Maryland,24,195,3,20200321
1033,2020-03-21,Massachusetts,25,525,2,20200321
1034,2020-03-21,Michigan,26,787,6,20200321
1035,2020-03-21,Minnesota,27,138,1,20200321
1036,2020-03-21,Mississippi,28,140,1,20200321
1037,2020-03-21,Missouri,29,93,3,20200321
1038,2020-03-21,Montana,30,29,0,20200321
1039,2020-03-21,Nebraska,31,61,0,20200321
1040,2020-03-21,Nevada,32,165,2,20200321
1041,2020-03-21,New Hampshire,33,65,0,20200321
1042,2020-03-21,New Jersey,34,1336,16,20200321
1043,2020-03-21,New Mexico,35,57,0,20200321
1044,2020-03-21,New York,36,10371,95,20200321
1045,2020-03-21,North Carolina,37,184,0,20200321
1046,2020-03-21,North Dakota,38,28,0,20200321
1047,2020-03-21,Ohio,39,247,3,20200321
1048,2020-03-21,Oklahoma,40,53,1,20200321
1049,2020-03-21,Oregon,41,137,4,20200321
1050,2020-03-21,Pennsylvania,42,388,2,20200321
1051,2020-03-21,Puerto Rico,72,21,1,20200321
1052,2020-03-21,Rhode Island,44,66,0,20200321
1053,2020-03-21,South Carolina,45,172,3,20200321
1054,2020-03-21,South Dakota,46,14,1,20200321
1055,2020-03-21,Tennessee,47,312,2,20200321
1056,2020-03-21,Texas,48,547,5,20200321
1057,2020-03-21,Utah,49,138,0,20200321
1058,2020-03-21,Vermont,50,49,2,20200321
1059,2020-03-21,Virgin Islands,78,6,0,20200321
1060,2020-03-21,Virginia,51,152,3,20200321
1061,2020-03-21,Washington,53,1655,95,20200321
1062,2020-03-21,West Virginia,54,12,0,20200321
1063,2020-03-21,Wisconsin,55,281,4,20200321
1064,2020-03-21,Wyoming,56,24,0,20200321
1065,2020-03-22,Alabama,01,157,0,20200322
1066,2020-03-22,Alaska,02,22,0,20200322
1067,2020-03-22,Arizona,04,153,2,20200322
1068,2020-03-22,Arkansas,05,165,0,20200322
1069,2020-03-22,California,06,1851,35,20200322
1070,2020-03-22,Colorado,08,591,7,20200322
1071,2020-03-22,Connecticut,09,327,8,20200322
1072,2020-03-22,Delaware,10,56,0,20200322
1073,2020-03-22,District of Columbia,11,98,1,20200322
1074,2020-03-22,Florida,12,1000,13,20200322
1075,2020-03-22,Georgia,13,620,25,20200322
1076,2020-03-22,Guam,66,27,1,20200322
1077,2020-03-22,Hawaii,15,56,0,20200322
1078,2020-03-22,Idaho,16,47,0,20200322
1079,2020-03-22,Illinois,17,1047,9,20200322
1080,2020-03-22,Indiana,18,204,9,20200322
1081,2020-03-22,Iowa,19,90,0,20200322
1082,2020-03-22,Kansas,20,66,2,20200322
1083,2020-03-22,Kentucky,21,103,3,20200322
1084,2020-03-22,Louisiana,22,837,20,20200322
1085,2020-03-22,Maine,23,89,0,20200322
1086,2020-03-22,Maryland,24,245,3,20200322
1087,2020-03-22,Massachusetts,25,646,5,20200322
1088,2020-03-22,Michigan,26,1033,9,20200322
1089,2020-03-22,Minnesota,27,171,1,20200322
1090,2020-03-22,Mississippi,28,207,1,20200322
1091,2020-03-22,Missouri,29,130,3,20200322
1092,2020-03-22,Montana,30,34,0,20200322
1093,2020-03-22,Nebraska,31,62,0,20200322
1094,2020-03-22,Nevada,32,190,2,20200322
1095,2020-03-22,New Hampshire,33,78,0,20200322
1096,2020-03-22,New Jersey,34,1914,20,20200322
1097,2020-03-22,New Mexico,35,65,0,20200322
1098,2020-03-22,New York,36,15188,142,20200322
1099,2020-03-22,North Carolina,37,269,0,20200322
1100,2020-03-22,North Dakota,38,30,0,20200322
1101,2020-03-22,Ohio,39,351,3,20200322
1102,2020-03-22,Oklahoma,40,67,2,20200322
1103,2020-03-22,Oregon,41,161,5,20200322
1104,2020-03-22,Pennsylvania,42,504,3,20200322
1105,2020-03-22,Puerto Rico,72,23,1,20200322
1106,2020-03-22,Rhode Island,44,83,0,20200322
1107,2020-03-22,South Carolina,45,194,3,20200322
1108,2020-03-22,South Dakota,46,21,1,20200322
1109,2020-03-22,Tennessee,47,424,2,20200322
1110,2020-03-22,Texas,48,639,7,20200322
1111,2020-03-22,Utah,49,182,1,20200322
1112,2020-03-22,Vermont,50,52,2,20200322
1113,2020-03-22,Virgin Islands,78,17,0,20200322
1114,2020-03-22,Virginia,51,219,6,20200322
1115,2020-03-22,Washington,53,1844,97,20200322
1116,2020-03-22,West Virginia,54,16,0,20200322
1117,2020-03-22,Wisconsin,55,382,4,20200322
1118,2020-03-22,Wyoming,56,26,0,20200322
1119,2020-03-23,Alabama,01,196,0,20200323
1120,2020-03-23,Alaska,02,36,0,20200323
1121,2020-03-23,Arizona,04,234,2,20200323
1122,2020-03-23,Arkansas,05,201,0,20200323
1123,2020-03-23,California,06,2240,39,20200323
1124,2020-03-23,Colorado,08,721,10,20200323
1125,2020-03-23,Connecticut,09,415,10,20200323
1126,2020-03-23,Delaware,10,87,0,20200323
1127,2020-03-23,District of Columbia,11,116,2,20200323
1128,2020-03-23,Florida,12,1222,18,20200323
1129,2020-03-23,Georgia,13,800,25,20200323
1130,2020-03-23,Guam,66,29,1,20200323
1131,2020-03-23,Hawaii,15,77,0,20200323
1132,2020-03-23,Idaho,16,50,0,20200323
