,date,cases,deaths
0,2020-01-21,1,0
1,2020-01-22,1,0
2,2020-01-23,1,0
3,2020-01-24,2,0
4,2020-01-25,3,0
5,2020-01-26,5,0
6,2020-01-27,5,0
7,2020-01-28,5,0
8,2020-01-29,5,0
9,2020-01-30,6,0
10,2020-01-31,7,0
11,2020-02-01,8,0
12,2020-02-02,11,0
13,2020-02-03,11,0
14,2020-02-04,11,0
15,2020-02-05,12,0
16,2020-02-06,12,0
17,2020-02-07,12,0
18,2020-02-08,12,0
19,2020-02-09,12,0
20,2020-02-10,13,0
21,2020-02-11,13,0
22,2020-02-12,14,0
23,2020-02-13,15,0
24,2020-02-14,15,0
25,2020-02-15,15,0
26,2020-02-16,15,0
27,2020-02-17,25,0
28,2020-02-18,25,0
29,2020-02-19,25,0
30,2020-02-20,27,0
31,2020-02-21,30,0
32,2020-02-22,30,0
33,2020-02-23,30,0
34,2020-02-24,43,0
35,2020-02-25,45,0
36,2020-02-26,60,0
37,2020-02-27,60,0
38,2020-02-28,65,0
39,2020-02-29,70,1
40,2020-03-01,88,3
41,2020-03-02,104,6
42,2020-03-03,125,10
43,2020-03-04,161,12
44,2020-03-05,228,12
45,2020-03-06,311,15
46,2020-03-07,428,19
47,2020-03-08,547,22
48,2020-03-09,748,26
49,2020-03-10,1018,31
50,2020-03-11,1263,37
51,2020-03-12,1668,43
52,2020-03-13,2224,50
53,2020-03-14,2898,60
54,2020-03-15,3600,68
55,2020-03-16,4507,91
56,2020-03-17,5906,117
57,2020-03-18,8350,162
58,2020-03-19,12393,212
59,2020-03-20,18001,275
60,2020-03-21,24526,358
61,2020-03-22,33063,455
62,2020-03-23,43500,574
63,2020-03-24,53924,769
64,2020-03-25,68530,1039
65,2020-03-26,85558,1345
66,2020-03-27,102829,1758
67,2020-03-28,123723,2287
68,2020-03-29,142397,2702
69,2020-03-30,163863,3356
70,2020-03-31,188413,4290
71,2020-04-01,215161,5315
72,2020-04-02,244619,6542
73,2020-04-03,277262,7902
74,2020-04-04,312498,9466
75,2020-04-05,337959,10828
76,2020-04-06,367568,12330
77,2020-04-07,399352,14579
78,2020-04-08,431169,16673
79,2020-04-09,465859,18772
80,2020-04-10,499325,21028
81,2020-04-11,531042,23105
82,2020-04-12,558182,24785
83,2020-04-13,583940,26547
84,2020-04-14,610615,29246
85,2020-04-15,640637,31994
86,2020-04-16,672243,34264
87,2020-04-17,703740,36626
88,2020-04-18,732121,38571
89,2020-04-19,757475,40089
90,2020-04-20,784761,41919
91,2020-04-21,810249,44587
92,2020-04-22,839017,46955
93,2020-04-23,872805,49123
94,2020-04-24,909530,51250
95,2020-04-25,943802,53210
96,2020-04-26,970409,54465
97,2020-04-27,993747,56022
98,2020-04-28,1018399,58416
99,2020-04-29,1045102,60930
100,2020-04-30,1075517,63140
101,2020-05-01,1109476,64902
102,2020-05-02,1138944,66485
103,2020-05-03,1165013,67816
104,2020-05-04,1186965,68905
105,2020-05-05,1210669,71139
106,2020-05-06,1235174,73847
107,2020-05-07,1263668,75805
108,2020-05-08,1291329,77380
109,2020-05-09,1316167,78834
110,2020-05-10,1336478,79765
111,2020-05-11,1354096,80747
112,2020-05-12,1376388,82400
113,2020-05-13,1397520,84168
114,2020-05-14,1424474,85906
115,2020-05-15,1450700,87499
116,2020-05-16,1474351,88724
117,2020-05-17,1493350,89568
118,2020-05-18,1515177,90414
119,2020-05-19,1536129,91934
120,2020-05-20,1559003,93406
121,2020-05-21,1584826,94721
122,2020-05-22,1608710,96010
123,2020-05-23,1630912,97060
124,2020-05-24,1651004,97680
125,2020-05-25,1670101,98190
126,2020-05-26,1688990,98937
127,2020-05-27,1707699,100422
128,2020-05-28,1730158,101622
129,2020-05-29,1754724,102812
130,2020-05-30,1778017,103775
