zip_code,pop_2016
00601,17800
00602,39716
00603,51565
00606,6320
00610,27976
00612,63884
00616,10321
00617,24648
00622,7385
00623,42711
00624,23945
00627,33481
00631,1689
00637,24013
00638,17795
00641,28925
00646,38292
00647,5711
00650,14569
00652,3893
00653,12125
00656,19996
00659,41327
00660,16678
00662,41986
00664,15693
00667,24492
00669,27063
00670,9087
00674,41545
00676,38488
00677,14755
00678,26490
00680,50628
00682,32433
00683,32058
00685,40102
00687,32087
00688,12797
00690,5328
00692,36700
00693,57428
00694,66
00698,38502
00703,27797
00704,8390
00705,24387
00707,11506
00714,18640
00715,3692
00716,29351
00717,17958
00718,26460
00719,30094
00720,22148
00723,18135
00725,83479
00727,57079
00728,41245
00729,52897
00730,33899
00731,14988
00735,12798
00736,49841
00738,32409
00739,37558
00740,1503
00741,5042
00745,53395
00751,22110
00754,39218
00757,22732
00765,8801
00766,24489
00767,35734
00769,39630
00771,38132
00772,21096
00773,19237
00775,1493
00777,40398
00778,46990
00780,11597
00782,18544
00783,34702
00784,41993
00786,287
00791,50515
00794,29635
00795,45852
00901,6541
00906,76
00907,17472
00909,5563
00911,7227
00912,5758
00913,8333
00915,28173
00917,19005
00918,16400
00920,17576
00921,36104
00923,25745
00924,54062
00925,6924
00926,101337
00927,14229
00934,67
00936,893
00949,77458
00950,0
00951,8
00952,9078
00953,72712
00956,71602
00957,42155
00959,48349
00960,2429
00961,30655
00962,20509
00965,7543
00966,15981
00968,3293
00969,43372
00971,28550
00976,61084
00979,15019
00982,14874
00983,38533
00985,33320
00987,58705
01001,17423
01002,29970
01003,11296
01005,5228
01007,14888
01008,1194
01009,237
01010,3718
01011,1523
01012,528
01013,22943
01020,30629
01022,2528
01026,1018
01027,17872
01028,16063
01029,760
01030,11278
01031,1192
01032,590
01033,6310
01034,2323
01035,5338
01036,5190
01037,755
01038,2853
01039,1194
01040,40280
01050,2343
01053,1697
01054,1972
01056,21352
01057,8773
01060,15407
01062,10867
01063,563
01066,12
01068,1825
01069,8753
01070,562
01071,1271
01072,1542
01073,6081
01074,228
01075,17770
01077,9650
01079,811
01080,2452
01081,1823
01082,10612
01083,3148
01084,154
01085,41479
01086,690
01088,433
01089,28575
01092,1191
01093,289
01094,347
01095,14569
01096,2564
01097,78
01098,1117
01103,2430
01104,23183
01105,11576
01106,15983
01107,11474
01108,28449
01109,30139
01118,14293
01119,13091
01128,2695
01129,7220
01151,9295
01199,0
01201,45001
01220,8266
01222,829
01223,2247
01224,176
01225,3192
01226,6885
01229,102
01230,8195
01235,2666
01236,1422
01237,2755
01238,5950
01240,4592
01242,429
01243,381
01244,82
01245,870
01247,15725
01253,734
01254,985
01255,869
01256,764
01257,2164
01258,359
01259,556
01260,545
01262,1196
01264,161
01266,1380
01267,7846
01270,814
01301,17730
01330,1468
01331,13205
01337,2598
01338,138
01339,1461
01340,1689
01341,1716
01342,1768
01343,46
01344,1582
01346,465
01347,133
01349,1106
01350,95
01351,2312
01354,1656
01355,915
01360,3006
01364,7832
01366,1202
01367,686
01368,1363
01370,3879
01373,4184
01375,3673
01376,5101
01378,734
01379,775
01420,40441
01430,6171
01431,3196
01432,7594
01434,1716
01436,3823
01438,635
01440,20334
01450,11182
01451,4629
01452,4537
01453,41336
01460,9538
01462,11087
01463,12031
01464,7433
01467,560
01468,3704
01469,7430
01473,7480
01474,1939
01475,10613
01501,16239
01503,3061
01504,9068
01505,4480
01506,3386
01507,13292
01510,13759
01515,2259
01516,8689
01518,3009
01519,6548
01520,14880
01521,2374
01522,3380
01523,7811
01524,6649
01525,128
01527,13431
01529,3218
01531,1106
01532,14846
01534,6406
01535,4761
01536,7557
01537,2671
01540,10921
01541,3451
01542,2366
01543,8402
01545,36103
01550,16824
01560,4504
01561,249
01562,11801
01564,7954
01566,6442
01568,7532
01569,13881
01570,16838
01571,11608
01581,18706
01583,7602
01585,4606
01588,9731
01590,9184
01602,23812
01603,20505
01604,35866
01605,28696
01606,19258
01607,8636
01608,3511
01609,19982
01610,23919
01611,2466
01612,4889
01701,32061
01702,38781
01718,526
01719,5287
01720,22638
01721,17420
01730,14018
01731,1957
01740,5113
01741,5125
01742,19448
01745,482
01746,14324
01747,5942
01748,16257
01749,19680
01752,39545
01754,10526
01756,5963
01757,28600
01760,35133
01770,4255
01772,9486
01773,4793
01775,7027
01776,18594
01778,13697
01801,39775
01803,25698
01810,34963
01821,31780
01824,25803
01826,30855
01827,3310
01830,25882
01832,23305
01833,8514
01834,6681
01835,13153
01840,5524
01841,47836
01843,25963
01844,49057
01845,29705
01850,16394
01851,30026
01852,34332
01854,29204
01860,6695
01862,11134
01863,9103
01864,15476
01867,24935
01876,29692
01879,12133
01880,26062
01886,23850
01887,23310
01890,22491
01901,1637
01902,47081
01904,17103
01905,26209
01906,27773
01907,14418
01908,3471
01913,17082
01915,40967
01921,8198
01922,2829
01923,27419
01929,3632
01930,29546
01937,139
01938,13682
01940,13143
01944,5321
01945,20363
01949,9514
01950,17837
01951,4076
01952,8899
01960,51948
01966,7167
01969,6145
01970,42650
01982,8136
01983,6434
01984,5135
01985,4484
02019,16833
02021,22562
02025,8316
02026,25272
02030,5864
02032,4070
02035,17348
02038,32873
02043,22901
02045,10437
02047,47
02048,23615
02050,25961
02052,12510
02053,13135
02054,8110
02056,11442
02061,10845
02062,29018
02066,17978
02067,18066
02071,1686
02072,28260
02081,19481
02090,15364
02093,11483
02108,4049
02109,4015
02110,2124
02111,7564
02113,7495
02114,13001
02115,28976
02116,23004
02118,27664
02119,26833
02120,15322
02121,28029
02122,24624
02124,52986
02125,36353
02126,29531
02127,36311
02128,46208
02129,18314
02130,39316
02131,32459
02132,28292
02134,17598
02135,40513
02136,31762
02138,37067
02139,36338
02140,19604
02141,13059
02142,2807
02143,26800
02144,24475
02145,26006
02148,60812
02149,44496
02150,38237
02151,53172
02152,18031
02155,59348
02163,2575
02169,55876
02170,19574
02171,17899
02176,27787
02180,21831
02184,37066
02186,27351
02188,15347
02189,15076
02190,16886
02191,8292
02199,1260
02203,0
02210,2461
02215,24698
02301,60659
02302,34154
02322,4476
02324,27381
02330,11557
02332,15444
02333,14222
02338,7753
02339,14332
02341,10477
02343,10654
02346,24005
02347,11230
02351,16196
02356,12498
02357,1234
02359,18166
02360,58024
02364,13106
02366,192
02367,2913
02368,33880
02370,17725
02375,10038
02379,7044
02382,14767
02420,14325
02421,18611
02445,21029
02446,29589
02451,18130
02452,15295
02453,29256
02457,1622
02458,12868
02459,19020
02460,10125
02461,7267
02462,1419
02464,3136
02465,11875
02466,8573
02467,22048
02468,5485
02472,33874
02474,27916
02476,16492
02478,25548
02481,16328
02482,10959
02492,20185
02493,11946
02494,9982
02532,12370
02534,952
02535,1812
02536,19366
02537,6249
02538,3228
02539,4247
02540,8635
02542,756
02543,935
02553,115
02554,10434
02556,2621
02557,4647
02558,1243
02559,4243
02561,479
02562,3194
02563,9469
02564,250
02568,4072
02571,10628
02575,2306
02576,5225
02584,10
02601,14503
02630,2355
02631,9782
02632,10293
02633,3859
02635,3486
02637,125
02638,3479
02639,2435
02641,236
02642,4898
02643,9
02644,4829
02645,9457
02646,1888
02647,169
02648,6456
02649,14080
02650,1197
02651,26
02652,781
02653,5879
02655,3465
02657,2962
02659,835
02660,6557
02663,120
02664,9049
02666,808
02667,3048
02668,2934
02669,251
02670,1325
02671,913
02672,257
02673,8571
02675,6383
02702,4632
02703,44121
02713,40
02715,3625
02717,4479
02718,6524
02719,16078
02720,30785
02721,25722
02723,14162
02724,17601
02725,2320
02726,15959
02738,5014
02739,6216
02740,43531
02743,10422
02744,11231
02745,24419
02746,15419
02747,23382
02748,11849
02760,27130
02762,8892
02763,1815
02764,3708
02766,19409
02767,13872
02769,11914
02770,5219
02771,14653
02777,16236
02779,6589
02780,49807
02790,15805
02791,284
02802,1078
02804,2026
02806,16304
02807,885
02808,2327
02809,22376
02812,1424
02813,7776
02814,7562
02815,183
02816,32647
02817,6112
02818,18299
02822,6480
02825,5263
02826,611
02827,2078
02828,7479
02830,5875
02831,3436
02832,4839
02833,775
02835,5462
02836,185
02837,3494
02838,3667
02839,1882
02840,23149
02841,1442
02842,16021
02852,22342
02857,9116
02858,650
02859,7196
02860,46221
02861,25400
02863,19366
02864,34228
02865,16742
02871,17112
02872,239
02873,315
02874,6152
02875,467
02876,250
02878,15795
02879,20928
02881,7715
02882,13475
02885,10548
02886,28848
02888,19805
02889,27446
02891,21379
02892,4651
02893,29450
02894,854
02895,41272
02896,11977
02898,1324
02903,10895
02904,29480
02905,26148
02906,28412
02907,28013
02908,37234
02909,43291
02910,21024
02911,15832
02912,1383
02914,21575
02915,16892
02916,8683
02917,14079
02919,29126
02920,37463
02921,12561
03031,11460
03032,5222
03033,5148
03034,3946
03036,4866
03037,4350
03038,33491
03042,6710
03043,1522
03044,4402
03045,13777
03046,2805
03047,1648
03048,3418
03049,7759
03051,24801
03052,8389
03053,24656
03054,25580
03055,15000
03057,2540
03060,29512
03062,27331
03063,16273
03064,14163
03070,5400
03071,5167
03076,13189
03077,10349
03079,28932
03082,1680
03084,1509
03086,3745
03087,14238
03101,2809
03102,32292
03103,37011
03104,31846
03106,13954
03109,10384
03110,21879
03215,186
03216,2392
03217,2159
03218,912
03220,7371
03221,2226
03222,5566
03223,3417
03224,2203
03225,3633
03226,1011
03227,1020
03229,5601
03230,1385
03231,266
03233,74
03234,4649
03235,8522
03237,2098
03238,120
03240,1276
03241,852
03242,4891
03243,1022
03244,8162
03245,2181
03246,16238
03249,7103
03251,1337
03253,6231
03254,4072
03255,1892
03256,2295
03257,4808
03258,2580
03259,305
03260,685
03261,4299
03262,920
03263,4052
03264,7230
03266,2317
03268,1223
03269,2982
03273,363
03275,11412
03276,8286
03278,2879
03279,749
03280,1028
03281,8892
03282,787
03284,953
03285,2000
03287,1419
03290,4827
03291,25
03293,84
03301,32291
03303,16189
03304,7698
03307,5419
03431,25715
03440,2670
03441,471
03442,1381
03443,773
03444,1468
03445,733
03446,6039
03447,2392
03448,731
03449,1832
03450,951
03451,3985
03452,5337
03455,1935
03456,688
03457,589
03458,6786
03461,5907
03462,1727
03464,1063
03465,2188
03466,1096
03467,1879
03470,4914
03561,5922
03570,10154
03574,2540
03575,132
03576,3188
03579,392
03580,1343
03581,3112
03582,2464
03583,978
03584,3699
03585,2756
03586,664
03588,1643
03590,837
03592,1116
03593,410
03595,765
03597,372
03598,3026
03601,437
03602,2853
03603,5328
03604,431
03605,982
03607,438
03608,2505
03609,811
03740,757
03741,4137
03743,13734
03745,1415
03746,249
03748,4636
03750,905
03751,479
03752,707
03753,2975
03754,184
03755,10689
03765,510
03766,9238
03768,1754
03770,602
03771,952
03773,7556
03774,1953
03777,1504
03779,840
03780,486
03781,1982
03782,3006
03784,4116
03785,2409
03801,22297
03809,3375
03810,1996
03811,6757
03812,639
03813,3171
03814,2343
03816,1259
03817,535
03818,3485
03819,4447
03820,30762
03823,1832
03824,15934
03825,8898
03826,2251
03827,3189
03830,2277
03832,322
03833,21475
03835,6827
03836,1324
03837,1646
03838,1123
03839,3914
03840,3930
03841,6424
03842,15156
03844,2371
03845,1077
03846,1082
03847,194
03848,6094
03849,1248
03850,320
03851,3967
03852,624
03853,542
03854,935
03855,2667
03856,1526
03857,8953
03858,4787
03860,4480
03861,4388
03862,4384
03864,1668
03865,7620
03867,20866
03868,5272
03869,2465
03870,5310
03871,45
03872,3352
03873,6061
03874,8809
03875,1349
03878,11821
03882,1352
03883,110
03884,3936
03885,7214
03886,2144
03887,1946
03890,262
03894,6185
03901,7507
03902,2438
