STNAME,CTYNAME,CENSUS2010POP,POPESTIMATE2019,BIRTHS2019,DEATHS2019
Alabama,Alabama,4779736,4903185,57313,53879
Alabama,Autauga County,54571,55869,624,541
Alabama,Baldwin County,182265,223234,2304,2326
Alabama,Barbour County,27457,24686,256,312
Alabama,Bibb County,22915,22394,240,252
Alabama,Blount County,57322,57826,651,657
Alabama,Bullock County,10914,10101,109,109
Alabama,Butler County,20947,19448,213,272
Alabama,Calhoun County,118572,113605,1269,1532
Alabama,Chambers County,34215,33254,354,441
Alabama,Cherokee County,25989,26196,222,343
Alabama,Chilton County,43643,44428,551,503
Alabama,Choctaw County,13859,12589,133,176
Alabama,Clarke County,25833,23622,266,324
Alabama,Clay County,13932,13235,143,187
Alabama,Cleburne County,14972,14910,187,189
Alabama,Coffee County,49948,52342,599,570
Alabama,Colbert County,54428,55241,630,719
Alabama,Conecuh County,13228,12067,123,182
Alabama,Coosa County,11539,10663,89,122
Alabama,Covington County,37765,37049,413,543
Alabama,Crenshaw County,13906,13772,137,179
Alabama,Cullman County,80406,83768,990,1050
Alabama,Dale County,50251,49172,648,546
Alabama,Dallas County,43820,37196,438,542
Alabama,DeKalb County,71109,71513,795,819
Alabama,Elmore County,79303,81209,932,821
Alabama,Escambia County,38319,36633,420,474
Alabama,Etowah County,104430,102268,1175,1487
Alabama,Fayette County,17241,16302,174,225
Alabama,Franklin County,31704,31362,432,367
Alabama,Geneva County,26790,26271,278,365
Alabama,Greene County,9045,8111,96,93
Alabama,Hale County,15760,14651,190,181
Alabama,Henry County,17302,17205,167,213
Alabama,Houston County,101547,105882,1304,1137
Alabama,Jackson County,53227,51626,562,675
Alabama,Jefferson County,658466,658573,8422,7343
Alabama,Lamar County,14564,13805,159,172
Alabama,Lauderdale County,92709,92729,876,1136
Alabama,Lawrence County,34339,32924,349,428
Alabama,Lee County,140247,164542,1825,1133
Alabama,Limestone County,82782,98915,1014,864
Alabama,Lowndes County,11299,9726,116,141
Alabama,Macon County,21452,18068,172,264
Alabama,Madison County,334811,372909,4242,3305
Alabama,Marengo County,21027,18863,209,276
Alabama,Marion County,30776,29709,302,405
Alabama,Marshall County,93019,96774,1395,1155
Alabama,Mobile County,412992,413210,5443,4576
Alabama,Monroe County,23068,20733,199,278
Alabama,Montgomery County,229363,226486,3058,2164
Alabama,Morgan County,119490,119679,1402,1316
Alabama,Perry County,10591,8923,95,121
Alabama,Pickens County,19746,19930,205,235
Alabama,Pike County,32899,33114,345,339
Alabama,Randolph County,22913,22722,254,285
Alabama,Russell County,52947,57961,810,608
Alabama,St. Clair County,83593,89512,983,975
Alabama,Shelby County,195085,217702,2237,1626
Alabama,Sumter County,13763,12427,136,163
Alabama,Talladega County,82291,79978,844,1044
Alabama,Tallapoosa County,41616,40367,385,534
Alabama,Tuscaloosa County,194656,209355,2431,1872
Alabama,Walker County,67023,63521,750,969
Alabama,Washington County,17581,16326,165,191
Alabama,Wilcox County,11670,10373,133,162
Alabama,Winston County,24484,23629,243,325
Alaska,Alaska,710231,731545,10031,4819
Alaska,Aleutians East Borough,3141,3337,10,9
Alaska,Aleutians West Census Area,5561,5634,38,7
Alaska,Anchorage Municipality,291826,288000,3923,1847
Alaska,Bethel Census Area,17013,18386,403,150
Alaska,Bristol Bay Borough,997,836,8,7
Alaska,Denali Borough,1826,2097,14,9
