STNAME,CENSUS2010POP,POPESTIMATE2019,BIRTHS2019,DEATHS2019
United States,308745538,328239523,3791712,2835038
Northeast Region,55317240,55982803,602740,505588
Midwest Region,66927001,68329004,792343,622854
South Region,114555744,125580448,1481244,1122130
West Region,71945553,78347268,915385,584466
Alabama,4779736,4903185,57313,53879
Alaska,710231,731545,10031,4819
Arizona,6392017,7278717,81942,60523
Arkansas,2915918,3017804,36640,31322
California,37253956,39512223,462617,282520
Colorado,5029196,5758736,64524,39116
Connecticut,3574097,3565287,34567,31149
Delaware,897934,973764,10683,9454
District of Columbia,601723,705749,9493,5677
Florida,18801310,21477737,221695,211692
Georgia,9687653,10617423,127873,86319
Hawaii,1360301,1415872,16878,12748
Idaho,1567582,1787065,22220,13308
Illinois,12830632,12671821,144299,110004
Indiana,6483802,6732219,80711,62175
Iowa,3046355,3155070,37672,28809
Kansas,2853118,2913314,35457,25230
Kentucky,4339367,4467673,53471,46074
Louisiana,4533372,4648794,58498,46343
Maine,1328361,1344212,12073,14335
Maryland,5773552,6045680,70091,51453
Massachusetts,6547629,6892503,70419,58564
Michigan,9883640,9986857,109472,95983
Minnesota,5303925,5639632,67642,43200
Mississippi,2967297,2976149,35978,31536
Missouri,5988927,6137428,71297,60141
Montana,989415,1068778,11618,9870
Nebraska,1826341,1934408,25343,15582
Nevada,2700551,3080156,35932,25610
New Hampshire,1316470,1359711,12004,12125
New Jersey,8791894,8882190,99501,75723
New Mexico,2059179,2096829,23125,18388
New York,19378102,19453561,222924,164817
North Carolina,9535483,10488084,119203,94312
North Dakota,672591,762062,10536,6250
Ohio,11536504,11689100,134291,117750
Oklahoma,3751351,3956971,48759,40266
Oregon,3831074,4217737,43305,36563
Pennsylvania,12702379,12801989,135190,133439
Rhode Island,1052567,1059361,10481,9802
South Carolina,4625364,5148714,56353,50744
South Dakota,814180,884659,11911,7337
Tennessee,6346105,6829174,80239,67977
Texas,25145561,28995881,378664,202786
Utah,2763885,3205958,48642,17443
Vermont,625741,623989,5581,5634
Virginia,8001024,8535519,98403,69729
Washington,6724540,7614893,87950,58587
West Virginia,1852994,1792147,17888,22567
Wisconsin,5686986,5822434,63712,50393
Wyoming,563626,578759,6601,4971
Puerto Rico,3725789,3193694,21428,28821
