,full_county_name
2000,"Aleutians East Borough, AK"
2318,"Aleutians West Census Area, AK"
619,"Anchorage Municipality, AK"
1463,"Bethel Census Area, AK"
1649,"Bristol Bay Borough, AK"
1238,"Denali Borough, AK"
1739,"Dillingham Census Area, AK"
1391,"Fairbanks North Star Borough, AK"
1411,"Haines Borough, AK"
3107,"Hoonah-Angoon Census Area, AK"
787,"Juneau City and Borough, AK"
1209,"Kenai Peninsula Borough, AK"
74,"Ketchikan Gateway Borough, AK"
2319,"Kodiak Island Borough, AK"
2067,"Kusilvak Census Area, AK"
1579,"Lake and Peninsula Borough, AK"
1821,"Matanuska-Susitna Borough, AK"
2305,"Nome Census Area, AK"
2180,"North Slope Borough, AK"
239,"Northwest Arctic Borough, AK"
769,"Petersburg Borough, AK"
768,"Prince of Wales-Hyder Census Area, AK"
311,"Sitka City and Borough, AK"
3106,"Skagway Municipality, AK"
1243,"Southeast Fairbanks Census Area, AK"
1288,"Valdez-Cordova Census Area, AK"
771,"Wrangell City and Borough, AK"
2488,"Yakutat City and Borough, AK"
505,"Yukon-Koyukuk Census Area, AK"
1289,"Autauga County, AL"
1210,"Baldwin County, AL"
1769,"Barbour County, AL"
2925,"Bibb County, AL"
835,"Blount County, AL"
1280,"Bullock County, AL"
306,"Butler County, AL"
2126,"Calhoun County, AL"
467,"Chambers County, AL"
202,"Cherokee County, AL"
3017,"Chilton County, AL"
1373,"Choctaw County, AL"
1995,"Clarke County, AL"
11,"Clay County, AL"
1746,"Cleburne County, AL"
3023,"Coffee County, AL"
243,"Colbert County, AL"
2495,"Conecuh County, AL"
952,"Coosa County, AL"
3029,"Covington County, AL"
2073,"Crenshaw County, AL"
1405,"Cullman County, AL"
1872,"Dale County, AL"
1490,"Dallas County, AL"
44,"DeKalb County, AL"
2840,"Elmore County, AL"
776,"Escambia County, AL"
2991,"Etowah County, AL"
466,"Fayette County, AL"
2429,"Franklin County, AL"
1812,"Geneva County, AL"
252,"Greene County, AL"
241,"Hale County, AL"
3090,"Henry County, AL"
1998,"Houston County, AL"
1172,"Jackson County, AL"
2893,"Jefferson County, AL"
2387,"Lamar County, AL"
1655,"Lauderdale County, AL"
2226,"Lawrence County, AL"
437,"Lee County, AL"
790,"Limestone County, AL"
926,"Lowndes County, AL"
1329,"Macon County, AL"
2059,"Madison County, AL"
31,"Marengo County, AL"
912,"Marion County, AL"
754,"Marshall County, AL"
464,"Mobile County, AL"
875,"Monroe County, AL"
2909,"Montgomery County, AL"
2363,"Morgan County, AL"
242,"Perry County, AL"
1633,"Pickens County, AL"
1013,"Pike County, AL"
2902,"Randolph County, AL"
2396,"Russell County, AL"
1422,"Shelby County, AL"
1346,"St. Clair County, AL"
1038,"Sumter County, AL"
1052,"Talladega County, AL"
1953,"Tallapoosa County, AL"
567,"Tuscaloosa County, AL"
2894,"Walker County, AL"
2048,"Washington County, AL"
568,"Wilcox County, AL"
1039,"Winston County, AL"
293,"Arkansas County, AR"
1716,"Ashley County, AR"
1573,"Baxter County, AR"
2374,"Benton County, AR"
1687,"Boone County, AR"
2764,"Bradley County, AR"
1390,"Calhoun County, AR"
309,"Carroll County, AR"
2744,"Chicot County, AR"
199,"Clark County, AR"
1552,"Clay County, AR"
1012,"Cleburne County, AR"
2422,"Cleveland County, AR"
1026,"Columbia County, AR"
2165,"Conway County, AR"
976,"Craighead County, AR"
1502,"Crawford County, AR"
2500,"Crittenden County, AR"
1418,"Cross County, AR"
2401,"Dallas County, AR"
1717,"Desha County, AR"
2856,"Drew County, AR"
1553,"Faulkner County, AR"
1475,"Franklin County, AR"
213,"Fulton County, AR"
549,"Garland County, AR"
2371,"Grant County, AR"
1970,"Greene County, AR"
3130,"Hempstead County, AR"
1019,"Hot Spring County, AR"
2247,"Howard County, AR"
188,"Independence County, AR"
782,"Izard County, AR"
1508,"Jackson County, AR"
584,"Jefferson County, AR"
501,"Johnson County, AR"
2573,"Lafayette County, AR"
2977,"Lawrence County, AR"
2122,"Lee County, AR"
585,"Lincoln County, AR"
1609,"Little River County, AR"
219,"Logan County, AR"
189,"Lonoke County, AR"
2390,"Madison County, AR"
2750,"Marion County, AR"
221,"Miller County, AR"
1248,"Mississippi County, AR"
1235,"Monroe County, AR"
1744,"Montgomery County, AR"
2250,"Nevada County, AR"
1340,"Newton County, AR"
1089,"Ouachita County, AR"
907,"Perry County, AR"
1419,"Phillips County, AR"
2859,"Pike County, AR"
3014,"Poinsett County, AR"
122,"Polk County, AR"
2746,"Pope County, AR"
2763,"Prairie County, AR"
2289,"Pulaski County, AR"
762,"Randolph County, AR"
2664,"Saline County, AR"
814,"Scott County, AR"
534,"Searcy County, AR"
2934,"Sebastian County, AR"
576,"Sevier County, AR"
1798,"Sharp County, AR"
1737,"St. Francis County, AR"
16,"Stone County, AR"
2907,"Union County, AR"
498,"Van Buren County, AR"
1268,"Washington County, AR"
2081,"White County, AR"
2038,"Woodruff County, AR"
1198,"Yell County, AR"
2511,"Apache County, AZ"
1075,"Cochise County, AZ"
1273,"Coconino County, AZ"
1676,"Gila County, AZ"
1736,"Graham County, AZ"
830,"Greenlee County, AZ"
2316,"La Paz County, AZ"
831,"Maricopa County, AZ"
2150,"Mohave County, AZ"
506,"Navajo County, AZ"
888,"Pima County, AZ"
397,"Pinal County, AZ"
2477,"Santa Cruz County, AZ"
2151,"Yavapai County, AZ"
390,"Yuma County, AZ"
2034,"Alameda County, CA"
1278,"Alpine County, CA"
2640,"Amador County, CA"
2170,"Butte County, CA"
339,"Calaveras County, CA"
1639,"Colusa County, CA"
1097,"Contra Costa County, CA"
1702,"Del Norte County, CA"
1334,"El Dorado County, CA"
1767,"Fresno County, CA"
3049,"Glenn County, CA"
1559,"Humboldt County, CA"
2485,"Imperial County, CA"
951,"Inyo County, CA"
1581,"Kern County, CA"
521,"Kings County, CA"
2725,"Lake County, CA"
692,"Lassen County, CA"
389,"Los Angeles County, CA"
1874,"Madera County, CA"
656,"Marin County, CA"
667,"Mariposa County, CA"
938,"Mendocino County, CA"
2242,"Merced County, CA"
1749,"Modoc County, CA"
1022,"Mono County, CA"
783,"Monterey County, CA"
724,"Napa County, CA"
2109,"Nevada County, CA"
2476,"Orange County, CA"
533,"Placer County, CA"
2739,"Plumas County, CA"
1572,"Riverside County, CA"
318,"Sacramento County, CA"
1435,"San Benito County, CA"
1078,"San Bernardino County, CA"
522,"San Diego County, CA"
617,"San Francisco County, CA"
1987,"San Joaquin County, CA"
3089,"San Luis Obispo County, CA"
2794,"San Mateo County, CA"
322,"Santa Barbara County, CA"
1883,"Santa Clara County, CA"
2935,"Santa Cruz County, CA"
760,"Shasta County, CA"
7,"Sierra County, CA"
2890,"Siskiyou County, CA"
1028,"Solano County, CA"
443,"Sonoma County, CA"
2361,"Stanislaus County, CA"
2524,"Sutter County, CA"
1891,"Tehama County, CA"
929,"Trinity County, CA"
2293,"Tulare County, CA"
1023,"Tuolumne County, CA"
386,"Ventura County, CA"
1367,"Yolo County, CA"
1421,"Yuba County, CA"
1186,"Adams County, CO"
399,"Alamosa County, CO"
2910,"Arapahoe County, CO"
1494,"Archuleta County, CO"
2796,"Baca County, CO"
1471,"Bent County, CO"
598,"Boulder County, CO"
674,"Broomfield County, CO"
696,"Chaffee County, CO"
120,"Cheyenne County, CO"
2431,"Clear Creek County, CO"
2727,"Conejos County, CO"
663,"Costilla County, CO"
697,"Crowley County, CO"
159,"Custer County, CO"
909,"Delta County, CO"
605,"Denver County, CO"
2904,"Dolores County, CO"
2716,"Douglas County, CO"
616,"Eagle County, CO"
2752,"El Paso County, CO"
2829,"Elbert County, CO"
698,"Fremont County, CO"
923,"Garfield County, CO"
2194,"Gilpin County, CO"
3086,"Grand County, CO"
2784,"Gunnison County, CO"
1641,"Hinsdale County, CO"
823,"Huerfano County, CO"
2402,"Jackson County, CO"
495,"Jefferson County, CO"
2755,"Kiowa County, CO"
2403,"Kit Carson County, CO"
196,"La Plata County, CO"
1859,"Lake County, CO"
1799,"Larimer County, CO"
3061,"Las Animas County, CO"
1046,"Lincoln County, CO"
2438,"Logan County, CO"
2860,"Mesa County, CO"
1232,"Mineral County, CO"
469,"Moffat County, CO"
1079,"Montezuma County, CO"
613,"Montrose County, CO"
1005,"Morgan County, CO"
1337,"Otero County, CO"
1423,"Ouray County, CO"
388,"Park County, CO"
1389,"Phillips County, CO"
366,"Pitkin County, CO"
416,"Prowers County, CO"
527,"Pueblo County, CO"
1004,"Rio Blanco County, CO"
1955,"Rio Grande County, CO"
1637,"Routt County, CO"
21,"Saguache County, CO"
223,"San Juan County, CO"
618,"San Miguel County, CO"
103,"Sedgwick County, CO"
499,"Summit County, CO"
2758,"Teller County, CO"
2544,"Washington County, CO"
1747,"Weld County, CO"
2251,"Yuma County, CO"
1985,"Fairfield County, CT"
1356,"Hartford County, CT"
2135,"Litchfield County, CT"
87,"Middlesex County, CT"
1106,"New Haven County, CT"
648,"New London County, CT"
1193,"Tolland County, CT"
1357,"Windham County, CT"
612,"District of Columbia, DC"
2774,"Kent County, DE"
572,"New Castle County, DE"
1117,"Sussex County, DE"
2561,"Alachua County, FL"
2123,"Baker County, FL"
1654,"Bay County, FL"
1140,"Bradford County, FL"
2683,"Brevard County, FL"
276,"Broward County, FL"
702,"Calhoun County, FL"
3116,"Charlotte County, FL"
400,"Citrus County, FL"
2300,"Clay County, FL"
2119,"Collier County, FL"
2094,"Columbia County, FL"
647,"DeSoto County, FL"
1241,"Dixie County, FL"
1196,"Duval County, FL"
1321,"Escambia County, FL"
1542,"Flagler County, FL"
970,"Franklin County, FL"
2896,"Gadsden County, FL"
359,"Gilchrist County, FL"
661,"Glades County, FL"
3015,"Gulf County, FL"
1820,"Hamilton County, FL"
2575,"Hardee County, FL"
192,"Hendry County, FL"
70,"Hernando County, FL"
393,"Highlands County, FL"
3112,"Hillsborough County, FL"
2095,"Holmes County, FL"
2846,"Indian River County, FL"
2501,"Jackson County, FL"
1742,"Jefferson County, FL"
1790,"Lafayette County, FL"
849,"Lake County, FL"
1611,"Lee County, FL"
3027,"Leon County, FL"
1823,"Levy County, FL"
2698,"Liberty County, FL"
2314,"Madison County, FL"
694,"Manatee County, FL"
2375,"Marion County, FL"
1231,"Martin County, FL"
363,"Miami-Dade County, FL"
1358,"Monroe County, FL"
2607,"Nassau County, FL"
2033,"Okaloosa County, FL"
562,"Okeechobee County, FL"
222,"Orange County, FL"
2370,"Osceola County, FL"
304,"Palm Beach County, FL"
983,"Pasco County, FL"
905,"Pinellas County, FL"
1951,"Polk County, FL"
1726,"Putnam County, FL"
2624,"Santa Rosa County, FL"
2148,"Sarasota County, FL"
1040,"Seminole County, FL"
620,"St. Johns County, FL"
2010,"St. Lucie County, FL"
984,"Sumter County, FL"
2265,"Suwannee County, FL"
2272,"Taylor County, FL"
2277,"Union County, FL"
77,"Volusia County, FL"
71,"Wakulla County, FL"
72,"Walton County, FL"
2608,"Washington County, FL"
1946,"Appling County, GA"
1195,"Atkinson County, GA"
2773,"Bacon County, GA"
2609,"Baker County, GA"
3020,"Baldwin County, GA"
1661,"Banks County, GA"
446,"Barrow County, GA"
848,"Bartow County, GA"
2121,"Ben Hill County, GA"
688,"Berrien County, GA"
2745,"Bibb County, GA"
1108,"Bleckley County, GA"
51,"Brantley County, GA"
2317,"Brooks County, GA"
2008,"Bryan County, GA"
1438,"Bulloch County, GA"
1109,"Burke County, GA"
2828,"Butts County, GA"
881,"Calhoun County, GA"
1293,"Camden County, GA"
927,"Candler County, GA"
225,"Carroll County, GA"
1351,"Catoosa County, GA"
143,"Charlton County, GA"
2276,"Chatham County, GA"
666,"Chattahoochee County, GA"
2628,"Chattooga County, GA"
2613,"Cherokee County, GA"
1086,"Clarke County, GA"
840,"Clay County, GA"
99,"Clayton County, GA"
2016,"Clinch County, GA"
2407,"Cobb County, GA"
1910,"Coffee County, GA"
1618,"Colquitt County, GA"
102,"Columbia County, GA"
247,"Cook County, GA"
1094,"Coweta County, GA"
523,"Crawford County, GA"
1025,"Crisp County, GA"
2897,"Dade County, GA"
1233,"Dawson County, GA"
174,"DeKalb County, GA"
2635,"Decatur County, GA"
1291,"Dodge County, GA"
1845,"Dooly County, GA"
1348,"Dougherty County, GA"
1406,"Douglas County, GA"
892,"Early County, GA"
1738,"Echols County, GA"
2383,"Effingham County, GA"
1768,"Elbert County, GA"
1594,"Emanuel County, GA"
1461,"Evans County, GA"
3051,"Fannin County, GA"
740,"Fayette County, GA"
79,"Floyd County, GA"
2940,"Forsyth County, GA"
191,"Franklin County, GA"
1965,"Fulton County, GA"
3137,"Gilmer County, GA"
2803,"Glascock County, GA"
2966,"Glynn County, GA"
391,"Gordon County, GA"
2726,"Grady County, GA"
2205,"Greene County, GA"
1466,"Gwinnett County, GA"
643,"Habersham County, GA"
879,"Hall County, GA"
